,date,col_A,col_B,col_C,is_holiday,holiday_type
281,2023-10-09,,,,,
282,2023-10-10,,,,,
283,2023-10-11,,,,,
284,2023-10-12,,,,,
285,2023-10-13,,,,,
286,2023-10-14,,,,,
287,2023-10-15,,,,,
288,2023-10-16,,,,,
289,2023-10-17,,,,,
290,2023-10-18,,,,,
291,2023-10-19,,,,,
292,2023-10-20,,,,,
293,2023-10-21,,,,,
294,2023-10-22,,,,,
295,2023-10-23,,,,,
296,2023-10-24,,,,,
297,2023-10-25,,,,,
298,2023-10-26,,,,,
299,2023-10-27,,,,,
300,2023-10-28,,,,,
301,2023-10-29,,,,,
302,2023-10-30,,,,True,special_non_working_holiday
303,2023-10-31,,,,,
304,2023-11-01,,,,True,special_non_working_holiday
305,2023-11-02,,,,True,special_non_working_holiday
306,2023-11-03,,,,,
307,2023-11-04,,,,,
308,2023-11-05,,,,,
309,2023-11-06,,,,,
310,2023-11-07,,,,,
311,2023-11-08,,,,,
312,2023-11-09,,,,,
313,2023-11-10,,,,,
314,2023-11-11,,,,,
315,2023-11-12,,,,,
316,2023-11-13,,,,,
317,2023-11-14,,,,,
318,2023-11-15,,,,,
319,2023-11-16,,,,,
320,2023-11-17,,,,,
321,2023-11-18,,,,,
322,2023-11-19,,,,,
323,2023-11-20,,,,,
324,2023-11-21,,,,,
325,2023-11-22,,,,,
326,2023-11-23,,,,,
327,2023-11-24,,,,,
328,2023-11-25,,,,,
329,2023-11-26,,,,,
330,2023-11-27,,,,True,regular_holiday
331,2023-11-28,,,,,
332,2023-11-29,,,,,
333,2023-11-30,,,,,
334,2023-12-01,,,,,
335,2023-12-02,,,,,
336,2023-12-03,,,,,
337,2023-12-04,,,,,
338,2023-12-05,,,,,
339,2023-12-06,,,,,
340,2023-12-07,,,,,
341,2023-12-08,,,,True,special_non_working_holiday
342,2023-12-09,,,,,
343,2023-12-10,,,,,
344,2023-12-11,,,,,
345,2023-12-12,,,,,
346,2023-12-13,,,,,
347,2023-12-14,,,,,
348,2023-12-15,,,,,
349,2023-12-16,,,,,
350,2023-12-17,,,,,
351,2023-12-18,,,,,
352,2023-12-19,,,,,
353,2023-12-20,,,,,
354,2023-12-21,,,,,
355,2023-12-22,,,,,
356,2023-12-23,,,,,
357,2023-12-24,,,,,
358,2023-12-25,,,,True,regular_holiday
359,2023-12-26,,,,True,special_non_working_holiday
360,2023-12-27,,,,,
361,2023-12-28,,,,,
362,2023-12-29,,,,,
363,2023-12-30,,,,True,regular_holiday
364,2023-12-31,,,,True,special_non_working_holiday
365,2024-01-01,,,,True,regular_holiday
366,2024-01-02,,,,,
367,2024-01-03,,,,,
368,2024-01-04,,,,,
369,2024-01-05,,,,,
370,2024-01-06,,,,,
371,2024-01-07,,,,,
372,2024-01-08,,,,,
373,2024-01-09,,,,,
374,2024-01-10,,,,,
375,2024-01-11,,,,,
376,2024-01-12,,,,,
377,2024-01-13,,,,,
378,2024-01-14,,,,,
379,2024-01-15,,,,,
380,2024-01-16,,,,,
381,2024-01-17,,,,,
382,2024-01-18,,,,,
383,2024-01-19,,,,,
384,2024-01-20,,,,,
385,2024-01-21,,,,,
386,2024-01-22,,,,,
387,2024-01-23,,,,,
388,2024-01-24,,,,,
389,2024-01-25,,,,,
390,2024-01-26,,,,,
391,2024-01-27,,,,,
392,2024-01-28,,,,,
393,2024-01-29,,,,,
394,2024-01-30,,,,,
395,2024-01-31,,,,,
396,2024-02-01,,,,,
397,2024-02-02,,,,,
398,2024-02-03,,,,,
399,2024-02-04,,,,,
400,2024-02-05,,,,,
401,2024-02-06,,,,,
402,2024-02-07,,,,,
403,2024-02-08,,,,,
404,2024-02-09,,,,True,special_non_working_holiday
405,2024-02-10,,,,True,special_non_working_holiday
406,2024-02-11,,,,,
407,2024-02-12,,,,,
408,2024-02-13,,,,,
409,2024-02-14,,,,,
410,2024-02-15,,,,,
411,2024-02-16,,,,,
412,2024-02-17,,,,,
413,2024-02-18,,,,,
414,2024-02-19,,,,,
415,2024-02-20,,,,,
416,2024-02-21,,,,,
417,2024-02-22,,,,,
418,2024-02-23,,,,,
419,2024-02-24,,,,,
420,2024-02-25,,,,,
421,2024-02-26,,,,,
422,2024-02-27,,,,,
423,2024-02-28,,,,,
424,2024-02-29,,,,,
425,2024-03-01,,,,,
426,2024-03-02,,,,,
427,2024-03-03,,,,,
428,2024-03-04,,,,,
429,2024-03-05,,,,,
430,2024-03-06,,,,,
431,2024-03-07,,,,,
432,2024-03-08,,,,,
433,2024-03-09,,,,,
434,2024-03-10,,,,,
435,2024-03-11,,,,,
436,2024-03-12,,,,,
437,2024-03-13,,,,,
438,2024-03-14,,,,,
439,2024-03-15,,,,,
440,2024-03-16,,,,,
441,2024-03-17,,,,,
442,2024-03-18,,,,,
443,2024-03-19,,,,,
444,2024-03-20,,,,,
445,2024-03-21,,,,,
446,2024-03-22,,,,,
447,2024-03-23,,,,,
448,2024-03-24,,,,,
449,2024-03-25,,,,,
450,2024-03-26,,,,,
451,2024-03-27,,,,,
452,2024-03-28,,,,True,regular_holiday
453,2024-03-29,,,,True,regular_holiday
454,2024-03-30,,,,True,special_non_working_holiday
455,2024-03-31,,,,,
456,2024-04-01,,,,,
457,2024-04-02,,,,,
458,2024-04-03,,,,,
459,2024-04-04,,,,,
460,2024-04-05,,,,,
461,2024-04-06,,,,,
462,2024-04-07,,,,,
463,2024-04-08,,,,,
464,2024-04-09,,,,True,regular_holiday
465,2024-04-10,,,,True,regular_holiday
466,2024-04-11,,,,,
467,2024-04-12,,,,,
468,2024-04-13,,,,,
469,2024-04-14,,,,,
470,2024-04-15,,,,,
471,2024-04-16,,,,,
472,2024-04-17,,,,,
473,2024-04-18,,,,,
474,2024-04-19,,,,,
475,2024-04-20,,,,,
476,2024-04-21,,,,,
477,2024-04-22,,,,,
478,2024-04-23,,,,,
479,2024-04-24,,,,,
480,2024-04-25,,,,,
481,2024-04-26,,,,,
482,2024-04-27,,,,,
483,2024-04-28,,,,,
484,2024-04-29,,,,,
485,2024-04-30,,,,,
486,2024-05-01,,,,True,regular_holiday
487,2024-05-02,,,,,
488,2024-05-03,,,,,
489,2024-05-04,,,,,
490,2024-05-05,,,,,
491,2024-05-06,,,,,
492,2024-05-07,,,,,
493,2024-05-08,,,,,
494,2024-05-09,,,,,
495,2024-05-10,,,,,
496,2024-05-11,,,,,
497,2024-05-12,,,,,
498,2024-05-13,,,,,
499,2024-05-14,,,,,
500,2024-05-15,,,,,
501,2024-05-16,,,,,
502,2024-05-17,,,,,
503,2024-05-18,,,,,
504,2024-05-19,,,,,
505,2024-05-20,,,,,
506,2024-05-21,,,,,
507,2024-05-22,,,,,
508,2024-05-23,,,,,
509,2024-05-24,,,,,
510,2024-05-25,,,,,
511,2024-05-26,,,,,
512,2024-05-27,,,,,
513,2024-05-28,,,,,
514,2024-05-29,,,,,
515,2024-05-30,,,,,
516,2024-05-31,,,,,
517,2024-06-01,,,,,
518,2024-06-02,,,,,
519,2024-06-03,,,,,
520,2024-06-04,,,,,
521,2024-06-05,,,,,
522,2024-06-06,,,,,
523,2024-06-07,,,,,
524,2024-06-08,,,,,
525,2024-06-09,,,,,
526,2024-06-10,,,,,
527,2024-06-11,,,,,
528,2024-06-12,,,,True,regular_holiday
529,2024-06-13,,,,,
530,2024-06-14,,,,,
531,2024-06-15,,,,,
532,2024-06-16,,,,,
533,2024-06-17,,,,True,regular_holiday
534,2024-06-18,,,,,
535,2024-06-19,,,,,
536,2024-06-20,,,,,
537,2024-06-21,,,,,
538,2024-06-22,,,,,
539,2024-06-23,,,,,
540,2024-06-24,,,,,
541,2024-06-25,,,,,
542,2024-06-26,,,,,
543,2024-06-27,,,,,
544,2024-06-28,,,,,
545,2024-06-29,,,,,
546,2024-06-30,,,,,
547,2024-07-01,,,,,
548,2024-07-02,,,,,
549,2024-07-03,,,,,
550,2024-07-04,,,,,
551,2024-07-05,,,,,
552,2024-07-06,,,,,
553,2024-07-07,,,,,
554,2024-07-08,,,,,
555,2024-07-09,,,,,
556,2024-07-10,,,,,
557,2024-07-11,,,,,
558,2024-07-12,,,,,
559,2024-07-13,,,,,
560,2024-07-14,,,,,
561,2024-07-15,,,,,
562,2024-07-16,,,,,
563,2024-07-17,,,,,
564,2024-07-18,,,,,
565,2024-07-19,,,,,
566,2024-07-20,,,,,
567,2024-07-21,,,,,
568,2024-07-22,,,,,
569,2024-07-23,,,,,
570,2024-07-24,,,,,
571,2024-07-25,,,,,
572,2024-07-26,,,,,
573,2024-07-27,,,,,
574,2024-07-28,,,,,
575,2024-07-29,,,,,
576,2024-07-30,,,,,
577,2024-07-31,,,,,
578,2024-08-01,,,,,
579,2024-08-02,,,,,
580,2024-08-03,,,,,
581,2024-08-04,,,,,
582,2024-08-05,,,,,
583,2024-08-06,,,,,
584,2024-08-07,,,,,
585,2024-08-08,,,,,
586,2024-08-09,,,,,
587,2024-08-10,,,,,
588,2024-08-11,,,,,
589,2024-08-12,,,,,
590,2024-08-13,,,,,
591,2024-08-14,,,,,
592,2024-08-15,,,,,
593,2024-08-16,,,,,
594,2024-08-17,,,,,
595,2024-08-18,,,,,
596,2024-08-19,,,,,
597,2024-08-20,,,,,
598,2024-08-21,,,,,
599,2024-08-22,,,,,
600,2024-08-23,,,,True,special_non_working_holiday
601,2024-08-24,,,,,
602,2024-08-25,,,,,
603,2024-08-26,,,,True,regular_holiday
604,2024-08-27,,,,,
605,2024-08-28,,,,,
606,2024-08-29,,,,,
607,2024-08-30,,,,,
608,2024-08-31,,,,,
609,2024-09-01,,,,,
610,2024-09-02,,,,,
611,2024-09-03,,,,,
612,2024-09-04,,,,,
613,2024-09-05,,,,,
614,2024-09-06,,,,,
615,2024-09-07,,,,,
616,2024-09-08,,,,,
617,2024-09-09,,,,,
618,2024-09-10,,,,,
619,2024-09-11,,,,,
620,2024-09-12,,,,,
621,2024-09-13,,,,,
622,2024-09-14,,,,,
623,2024-09-15,,,,,
624,2024-09-16,,,,,
625,2024-09-17,,,,,
626,2024-09-18,,,,,
627,2024-09-19,,,,,
628,2024-09-20,,,,,
629,2024-09-21,,,,,
630,2024-09-22,,,,,
631,2024-09-23,,,,,
632,2024-09-24,,,,,
633,2024-09-25,,,,,
634,2024-09-26,,,,,
635,2024-09-27,,,,,
636,2024-09-28,,,,,
637,2024-09-29,,,,,
638,2024-09-30,,,,,
639,2024-10-01,,,,,
640,2024-10-02,,,,,
641,2024-10-03,,,,,
642,2024-10-04,,,,,
643,2024-10-05,,,,,
644,2024-10-06,,,,,
645,2024-10-07,,,,,
646,2024-10-08,,,,,
647,2024-10-09,,,,,
648,2024-10-10,,,,,
649,2024-10-11,,,,,
650,2024-10-12,,,,,
651,2024-10-13,,,,,
652,2024-10-14,,,,,
653,2024-10-15,,,,,
654,2024-10-16,,,,,
655,2024-10-17,,,,,
656,2024-10-18,,,,,
657,2024-10-19,,,,,
658,2024-10-20,,,,,
659,2024-10-21,,,,,
660,2024-10-22,,,,,
661,2024-10-23,,,,,
662,2024-10-24,,,,,
663,2024-10-25,,,,,
664,2024-10-26,,,,,
665,2024-10-27,,,,,
666,2024-10-28,,,,,
667,2024-10-29,,,,,
668,2024-10-30,,,,,
669,2024-10-31,,,,,
670,2024-11-01,,,,True,special_non_working_holiday
671,2024-11-02,,,,True,special_non_working_holiday
672,2024-11-03,,,,,
673,2024-11-04,,,,,
674,2024-11-05,,,,,
675,2024-11-06,,,,,
676,2024-11-07,,,,,
677,2024-11-08,,,,,
678,2024-11-09,,,,,
679,2024-11-10,,,,,
680,2024-11-11,,,,,
681,2024-11-12,,,,,
682,2024-11-13,,,,,
683,2024-11-14,,,,,
684,2024-11-15,,,,,
685,2024-11-16,,,,,
686,2024-11-17,,,,,
687,2024-11-18,,,,,
688,2024-11-19,,,,,
689,2024-11-20,,,,,
690,2024-11-21,,,,,
691,2024-11-22,,,,,
692,2024-11-23,,,,,
693,2024-11-24,,,,,
694,2024-11-25,,,,,
695,2024-11-26,,,,,
696,2024-11-27,,,,,
697,2024-11-28,,,,,
698,2024-11-29,,,,,
699,2024-11-30,,,,True,regular_holiday
700,2024-12-01,,,,,
701,2024-12-02,,,,,
702,2024-12-03,,,,,
703,2024-12-04,,,,,
704,2024-12-05,,,,,
705,2024-12-06,,,,,
706,2024-12-07,,,,,
707,2024-12-08,,,,True,special_non_working_holiday
708,2024-12-09,,,,,
709,2024-12-10,,,,,
710,2024-12-11,,,,,
711,2024-12-12,,,,,
712,2024-12-13,,,,,
713,2024-12-14,,,,,
714,2024-12-15,,,,,
715,2024-12-16,,,,,
716,2024-12-17,,,,,
717,2024-12-18,,,,,
718,2024-12-19,,,,,
719,2024-12-20,,,,,
720,2024-12-21,,,,,
721,2024-12-22,,,,,
722,2024-12-23,,,,,
723,2024-12-24,,,,True,special_non_working_holiday
724,2024-12-25,,,,True,regular_holiday
725,2024-12-26,,,,,
726,2024-12-27,,,,,
727,2024-12-28,,,,,
728,2024-12-29,,,,,
729,2024-12-30,,,,True,regular_holiday
730,2024-12-31,,,,True,special_non_working_holiday
731,2025-01-01,,,,,
732,2025-01-02,,,,,
733,2025-01-03,,,,,
734,2025-01-04,,,,,
735,2025-01-05,,,,,
736,2025-01-06,,,,,
737,2025-01-07,,,,,
738,2025-01-08,,,,,
739,2025-01-09,,,,,
740,2025-01-10,,,,,
741,2025-01-11,,,,,
742,2025-01-12,,,,,
743,2025-01-13,,,,,
744,2025-01-14,,,,,
745,2025-01-15,,,,,
746,2025-01-16,,,,,
747,2025-01-17,,,,,
748,2025-01-18,,,,,
749,2025-01-19,,,,,
750,2025-01-20,,,,,
751,2025-01-21,,,,,
752,2025-01-22,,,,,
753,2025-01-23,,,,,
754,2025-01-24,,,,,
755,2025-01-25,,,,,
756,2025-01-26,,,,,
757,2025-01-27,,,,,
758,2025-01-28,,,,,
759,2025-01-29,,,,,
760,2025-01-30,,,,,
761,2025-01-31,,,,,
762,2025-02-01,,,,,
763,2025-02-02,,,,,
764,2025-02-03,,,,,
765,2025-02-04,,,,,
766,2025-02-05,,,,,
767,2025-02-06,,,,,
768,2025-02-07,,,,,
769,2025-02-08,,,,,
770,2025-02-09,,,,,
771,2025-02-10,,,,,
772,2025-02-11,,,,,
773,2025-02-12,,,,,
774,2025-02-13,,,,,
775,2025-02-14,,,,,
776,2025-02-15,,,,,
777,2025-02-16,,,,,
778,2025-02-17,,,,,
779,2025-02-18,,,,,
780,2025-02-19,,,,,
781,2025-02-20,,,,,
782,2025-02-21,,,,,
783,2025-02-22,,,,,
784,2025-02-23,,,,,
785,2025-02-24,,,,,
786,2025-02-25,,,,,
787,2025-02-26,,,,,
788,2025-02-27,,,,,
789,2025-02-28,,,,,
790,2025-03-01,,,,,
791,2025-03-02,,,,,
792,2025-03-03,,,,,
793,2025-03-04,,,,,
794,2025-03-05,,,,,
795,2025-03-06,,,,,
796,2025-03-07,,,,,
797,2025-03-08,,,,,
798,2025-03-09,,,,,
799,2025-03-10,,,,,
800,2025-03-11,,,,,
801,2025-03-12,,,,,
802,2025-03-13,,,,,
803,2025-03-14,,,,,
804,2025-03-15,,,,,
805,2025-03-16,,,,,
806,2025-03-17,,,,,
807,2025-03-18,,,,,
808,2025-03-19,,,,,
809,2025-03-20,,,,,
810,2025-03-21,,,,,
811,2025-03-22,,,,,
812,2025-03-23,,,,,
813,2025-03-24,,,,,
814,2025-03-25,,,,,
815,2025-03-26,,,,,
816,2025-03-27,,,,,
817,2025-03-28,,,,,
818,2025-03-29,,,,,
819,2025-03-30,,,,,
820,2025-03-31,,,,,
821,2025-04-01,,,,,
822,2025-04-02,,,,,
823,2025-04-03,,,,,
824,2025-04-04,,,,,
825,2025-04-05,,,,,
826,2025-04-06,,,,,
827,2025-04-07,,,,,
828,2025-04-08,,,,,
829,2025-04-09,,,,,
830,2025-04-10,,,,,
831,2025-04-11,,,,,
832,2025-04-12,,,,,
833,2025-04-13,,,,,
834,2025-04-14,,,,,
835,2025-04-15,,,,,
836,2025-04-16,,,,,
837,2025-04-17,,,,,
838,2025-04-18,,,,,
839,2025-04-19,,,,,
840,2025-04-20,,,,,
841,2025-04-21,,,,,
842,2025-04-22,,,,,
843,2025-04-23,,,,,
844,2025-04-24,,,,,
845,2025-04-25,,,,,
846,2025-04-26,,,,,
847,2025-04-27,,,,,
848,2025-04-28,,,,,
849,2025-04-29,,,,,
850,2025-04-30,,,,,
851,2025-05-01,,,,,
852,2025-05-02,,,,,
853,2025-05-03,,,,,
854,2025-05-04,,,,,
855,2025-05-05,,,,,
856,2025-05-06,,,,,
857,2025-05-07,,,,,
858,2025-05-08,,,,,
859,2025-05-09,,,,,
860,2025-05-10,,,,,
861,2025-05-11,,,,,
862,2025-05-12,,,,,
863,2025-05-13,,,,,
864,2025-05-14,,,,,
865,2025-05-15,,,,,
866,2025-05-16,,,,,
867,2025-05-17,,,,,
868,2025-05-18,,,,,
869,2025-05-19,,,,,
870,2025-05-20,,,,,
871,2025-05-21,,,,,
872,2025-05-22,,,,,
873,2025-05-23,,,,,
874,2025-05-24,,,,,
875,2025-05-25,,,,,
876,2025-05-26,,,,,
877,2025-05-27,,,,,
878,2025-05-28,,,,,
879,2025-05-29,,,,,
880,2025-05-30,,,,,
881,2025-05-31,,,,,
882,2025-06-01,,,,,
883,2025-06-02,,,,,
884,2025-06-03,,,,,
885,2025-06-04,,,,,
886,2025-06-05,,,,,
887,2025-06-06,,,,,
888,2025-06-07,,,,,
889,2025-06-08,,,,,
890,2025-06-09,,,,,
891,2025-06-10,,,,,
892,2025-06-11,,,,,
893,2025-06-12,,,,,
894,2025-06-13,,,,,
895,2025-06-14,,,,,
896,2025-06-15,,,,,
897,2025-06-16,,,,,
898,2025-06-17,,,,,
899,2025-06-18,,,,,
900,2025-06-19,,,,,
901,2025-06-20,,,,,
902,2025-06-21,,,,,
903,2025-06-22,,,,,
904,2025-06-23,,,,,
905,2025-06-24,,,,,
906,2025-06-25,,,,,
907,2025-06-26,,,,,
908,2025-06-27,,,,,
909,2025-06-28,,,,,
910,2025-06-29,,,,,
911,2025-06-30,,,,,
912,2025-07-01,,,,,
913,2025-07-02,,,,,
914,2025-07-03,,,,,
915,2025-07-04,,,,,
916,2025-07-05,,,,,
917,2025-07-06,,,,,
918,2025-07-07,,,,,
919,2025-07-08,,,,,
920,2025-07-09,,,,,
921,2025-07-10,,,,,
922,2025-07-11,,,,,
923,2025-07-12,,,,,
924,2025-07-13,,,,,
925,2025-07-14,,,,,
926,2025-07-15,,,,,
927,2025-07-16,,,,,
928,2025-07-17,,,,,
929,2025-07-18,,,,,
930,2025-07-19,,,,,
931,2025-07-20,,,,,
932,2025-07-21,,,,,
933,2025-07-22,,,,,
934,2025-07-23,,,,,
935,2025-07-24,,,,,
936,2025-07-25,,,,,
937,2025-07-26,,,,,
938,2025-07-27,,,,,
939,2025-07-28,,,,,
940,2025-07-29,,,,,
941,2025-07-30,,,,,
942,2025-07-31,,,,,
943,2025-08-01,,,,,
944,2025-08-02,,,,,
945,2025-08-03,,,,,
946,2025-08-04,,,,,
947,2025-08-05,,,,,
948,2025-08-06,,,,,
949,2025-08-07,,,,,
950,2025-08-08,,,,,
951,2025-08-09,,,,,
952,2025-08-10,,,,,
953,2025-08-11,,,,,
954,2025-08-12,,,,,
955,2025-08-13,,,,,
956,2025-08-14,,,,,
957,2025-08-15,,,,,
958,2025-08-16,,,,,
959,2025-08-17,,,,,
960,2025-08-18,,,,,
961,2025-08-19,,,,,
962,2025-08-20,,,,,
963,2025-08-21,,,,,
964,2025-08-22,,,,,
965,2025-08-23,,,,,
966,2025-08-24,,,,,
967,2025-08-25,,,,,
968,2025-08-26,,,,,
969,2025-08-27,,,,,
